temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
132.0, 12.0, maize.SegRoot@21337f7b, maize.SegRoot@73cd37c0, 252, 30, 2, 12.0, 1.277383170016794, 0.9168874686751074, -2.333669976535564, 1.2719568631781542, 0.921724627412241, -2.330329754001765, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@2bb3058, maize.SegRoot@21337f7b, 252, 30, 2, 11.0, 1.282607914840354, 0.911586314295995, -2.336602518250203, 1.277383170016794, 0.9168874686751074, -2.333669976535564, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@7a362b6b, maize.SegRoot@2bb3058, 252, 30, 2, 10.0, 1.2879278578859672, 0.90624582124944, -2.3392815735205774, 1.282607914840354, 0.911586314295995, -2.336602518250203, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@60df60da, maize.SegRoot@7a362b6b, 252, 30, 2, 10.0, 1.2946678264104852, 0.903142789846069, -2.3422722285539765, 1.2879278578859672, 0.90624582124944, -2.3392815735205774, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@5a2d131d, maize.SegRoot@60df60da, 252, 30, 2, 9.0, 1.3015429813354058, 0.9003633770814523, -2.3452734127490604, 1.2946678264104852, 0.903142789846069, -2.3422722285539765, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@14fc1f0, maize.SegRoot@5a2d131d, 252, 30, 2, 8.0, 1.3056227482318636, 0.8942873872259764, -2.348504178366885, 1.3015429813354058, 0.9003633770814523, -2.3452734127490604, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
132.0, 12.0, maize.SegRoot@4ae9cfc1, maize.SegRoot@14fc1f0, 252, 30, 2, 7.0, 1.3541654791727251, 0.8345669393139122, -2.4123561295665845, 1.3056227482318636, 0.8942873872259764, -2.348504178366885, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
132.0, 12.0, maize.SegRoot@512baff6, maize.SegRoot@4ae9cfc1, 252, 30, 2, 7.0, 1.4210841943488892, 0.7900670828693155, -2.471867881629559, 1.3541654791727251, 0.8345669393139122, -2.4123561295665845, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
132.0, 12.0, maize.SegRoot@632ceb35, maize.SegRoot@512baff6, 252, 30, 2, 6.0, 1.4699964128164709, 0.7330197061892575, -2.5378466054466076, 1.4210841943488892, 0.7900670828693155, -2.471867881629559, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
132.0, 12.0, maize.MerisRoot@1c93f6e1, maize.SegRoot@632ceb35, 669, 31, 3, 6.0, 1.4701161454927691, 0.732441207222508, -2.538653453053965, 1.4699964128164709, 0.7330197061892575, -2.5378466054466076, 0.034310173, 0.0036982452, 2.1147904E-5, 0.034310173, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@1800a575, maize.SegRoot@632ceb35, 252, 30, 2, 5.0, 1.4819696804463016, 0.6751698095143157, -2.618531366182364, 1.4699964128164709, 0.7330197061892575, -2.5378466054466076, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
