temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis, n_uptake, n_satis
132.0, 12.0, maize.SegRoot@2f7c7260, maize.SegRoot@1b0375b3, 3, 20, 1, 2.0, -1.3801280974468728, -8.240076579610532, -3.4894657775766755, -1.4402218603772579, -7.979188381068519, -3.3030195513447524, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.17313588, 0.0, 0.0, -0.15000014, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 3.161894E-21, 8.094734E-19, 0.9999096, 1.0, 1.01606965E-7, 1.7867851E-5, 0.0, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@2d209079, maize.SegRoot@2f7c7260, 99, 21, 2, 2.0, -1.380128416335376, -8.240124484991192, -3.489501901981903, -1.3801280974468728, -8.240076579610532, -3.4894657775766755, 0.024384415, 0.0018679901, 7.591641E-6, 0.024384415, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 5.733131E-19, 1.0, 1.0, 4.5469015E-8, 0.0, 0.0, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@694f9431, maize.SegRoot@2f7c7260, 3, 20, 1, 132.0, -1.3801599862971823, -8.244867117676495, -3.493078218099433, -1.3801280974468728, -8.240076579610532, -3.4894657775766755, 0.06, 0.011309733, 1.13097325E-4, 0.06, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, -3.1390816E-16, 2.3299843E-19, 1.0, 1.0, 6.773798E-7, 0.0, 0.0, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@f2a0b8e, maize.ArtVirt@15327b79, 4, 20, 1, 132.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 1.5, 0.28274333, 0.00424115, 0.06, 0.0, 2.4439342E-4, 0.0, -0.85484695, -0.15, 4.24908288E9, 7095453.0, 0.9999096, 2.8087112E-12, 2.3013381E-11, 0.9999096, 1.0, 2.9275167E-5, 0.0, 2.4439342E-4, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@442d9b6e, maize.SegRoot@f2a0b8e, 4, 20, 1, 118.0, -0.1500000000000007, 1.1249999999999996, -2.649519052838329, 0.6, 0.0, -2.0, 1.5, 0.28274333, 0.00424115, 0.06, 0.0, 2.4843542E-4, 0.0, -0.8533895, -0.15, 4.8089815E9, 5793061.5, 0.9999096, 3.4330499E-12, 2.020467E-11, 0.9999096, 1.0, 2.9759345E-5, 0.0, 2.4843542E-4, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@4c75cab9, maize.SegRoot@442d9b6e, 11, 21, 2, 35.0, -0.1575000000000007, 1.1362499999999995, -2.6560142433667124, -0.1500000000000007, 1.1249999999999996, -2.649519052838329, 0.00132689, 5.5312037E-5, 1.8348246E-7, 0.013268899, 0.04573973, 1.0603338E-8, 0.0, -0.79475784, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 7.1319295E-16, 4.4187262E-12, 0.9999096, 1.0, 1.2701425E-9, 2.6682355E-7, 1.0603338E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@6bdf28bb, maize.SegRoot@4c75cab9, 11, 21, 2, 12.0, -0.15678975815982765, 1.1371958250133973, -2.6554129045157753, -0.1575000000000007, 1.1362499999999995, -2.6560142433667124, 0.00132689, 5.5312037E-5, 1.8348246E-7, 0.013268899, 0.04573973, 9.607219E-9, 0.0, -0.73613566, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 6.4834856E-16, 4.4180133E-12, 0.9999096, 1.0, 1.1508203E-9, 2.417571E-7, 9.607219E-9, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@ee7d9f1, maize.SegRoot@6bdf28bb, 11, 21, 2, 118.0, -0.1560195468154547, 1.1381586513050357, -2.6549226220887223, -0.15678975815982765, 1.1371958250133973, -2.6554129045157753, 0.013268899, 5.531204E-4, 1.2232164E-6, 0.013268899, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 4.417358E-12, 4.417365E-12, 1.0, 1.0, 7.3262743E-9, 0.0, 0.0, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@15615099, maize.SegRoot@442d9b6e, 4, 20, 1, 107.0, -0.9000000000000014, 2.249999999999999, -3.299038105676658, -0.1500000000000007, 1.1249999999999996, -2.649519052838329, 1.5, 0.28274333, 0.00424115, 0.06, 0.0, 2.4439342E-4, 0.0, -0.8524021, -0.15, 5.3289702E9, 5099864.5, 0.9999096, 3.8942113E-12, 1.2352894E-11, 0.9999096, 1.0, 2.9275167E-5, 0.0, 2.4439342E-4, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@6d86b085, maize.SegRoot@15615099, 20, 21, 2, 60.0, -0.9073788878862926, 2.2604637754252823, -3.3068522862101997, -0.9000000000000014, 2.249999999999999, -3.299038105676658, 0.0024692446, 1.915482E-4, 1.1824484E-6, 0.024692446, 0.0, 6.806435E-8, 0.0, -0.7982277, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 2.4831124E-15, 2.1939653E-12, 0.9999096, 1.0, 8.153228E-9, 0.0, 6.806435E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@1ef7fe8e, maize.SegRoot@6d86b085, 20, 21, 2, 47.0, -0.9076720623740354, 2.2590249242617038, -3.3088374624482952, -0.9073788878862926, 2.2604637754252823, -3.3068522862101997, 0.0024692446, 1.915482E-4, 1.1824484E-6, 0.024692446, 0.0, 6.9057904E-8, 0.0, -0.74411464, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 2.2758261E-15, 2.1914822E-12, 0.9999096, 1.0, 8.2722424E-9, 0.0, 6.9057904E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@6f79caec, maize.SegRoot@1ef7fe8e, 20, 21, 2, 34.0, -0.9082073774891448, 2.257150487297151, -3.3103530786401287, -0.9076720623740354, 2.2590249242617038, -3.3088374624482952, 0.0024692446, 1.915482E-4, 1.1824484E-6, 0.024692446, 0.0, 6.806435E-8, 0.0, -0.6900578, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 2.068755E-15, 2.1892065E-12, 0.9999096, 1.0, 8.153228E-9, 0.0, 6.806435E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@1edf1c96, maize.SegRoot@6f79caec, 20, 21, 2, 107.0, -0.9081602023161018, 2.2554964751009257, -3.3121858870876433, -0.9082073774891448, 2.257150487297151, -3.3103530786401287, 0.024692446, 0.001915482, 7.882989E-6, 0.024692446, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 2.1871144E-12, 2.1871376E-12, 1.0, 1.0, 4.7214E-8, 0.0, 0.0, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@73a28541, maize.SegRoot@15615099, 4, 20, 1, 95.0, -1.6378887886291316, 3.2963775425283357, -4.080456159030811, -0.9000000000000014, 2.249999999999999, -3.299038105676658, 1.5, 0.28274333, 0.00424115, 0.06, 0.0, 2.4843542E-4, 0.0, -0.8518307, -0.15, 6.0797993E9, 4486688.0, 0.9999096, 4.422816E-12, 6.2647166E-12, 0.9999096, 1.0, 2.9759345E-5, 0.0, 2.4843542E-4, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@75828a0f, maize.SegRoot@73a28541, 28, 21, 2, 55.0, -1.6414810298184332, 3.306995389914351, -4.09042396320852, -1.6378887886291316, 3.2963775425283357, -4.080456159030811, 0.0030213236, 2.86777E-4, 2.1661153E-6, 0.030213235, 0.0, 1.2356666E-7, 0.0, -0.7975813, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 3.713893E-15, 1.7955529E-12, 0.9999096, 1.0, 1.4801687E-8, 0.0, 1.2356666E-7, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@67117f44, maize.SegRoot@75828a0f, 28, 21, 2, 45.0, -1.6444521213032908, 3.3067552158499454, -4.089930680440803, -1.6414810298184332, 3.306995389914351, -4.09042396320852, 0.0030213236, 2.86777E-4, 2.1661153E-6, 0.030213235, 0.0, 1.2792692E-7, 0.0, -0.743444, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 3.4034146E-15, 1.791839E-12, 0.9999096, 1.0, 1.532399E-8, 0.0, 1.2792692E-7, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
