temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis
36.0, 12.0, maize.SegStem@41cf53f9, maize.ArtVirt@533ddba, 1, 40, 1, 36.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 0.01, 0.012566371, 0.001256637, 0.4, 0.01025, 6.283185E-6, 0.0, -0.4, -0.15, 1.19336154E9, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 7.526442E-7, 0.0, 6.283185E-6, 1.0, 0.0
36.0, 12.0, maize.SegStem@5a10411, maize.SegStem@41cf53f9, 2, 40, 1, 30.0, 0.6, 0.0, -1.9900000002235174, 0.6, 0.0, -2.0, 0.01, 0.012566371, 0.001256637, 0.4, 0.01025, 6.283185E-6, 0.0, -0.4, -0.15, 1.19336154E9, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 7.526442E-7, 0.0, 6.283185E-6, 1.0, 0.0
36.0, 12.0, maize.SegLeaf@68de145, maize.SegStem@5a10411, 1, 41, 1, 25.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.5175, 5.6274352E-8, 5.627435E-10, 1.0874271E-7, 0.0, 4.2205766E-12, 0.0, -0.4, -0.15, 1.19336161E10, Infinity, 0.0, 0.0, 0.0, 1.0, 1.0, 3.038815E-17, 0.0, 4.2205766E-12, 1.0, 0.0
36.0, 12.0, maize.SegLeaf@27fa135a, maize.SegLeaf@68de145, 1, 41, 1, 25.0, 0.6, 0.0, -1.4625999927334488, 0.6, 0.0, -1.9801000004447997, 0.5175, 5.6274352E-8, 5.627435E-10, 1.0874271E-7, 0.0, 4.2205766E-12, 0.0, -0.4, -0.15, 1.19336161E10, Infinity, 0.0, 0.0, 0.0, 1.0, 1.0, 3.038815E-17, 0.0, 4.2205766E-12, 1.0, 0.0
36.0, 12.0, maize.SegLeaf@506c589e, maize.SegLeaf@27fa135a, 1, 41, 1, 24.0, 0.6, 0.0, -0.9450999850220978, 0.6, 0.0, -1.4625999927334488, 0.545, 5.9264778E-8, 5.9264776E-10, 1.0874271E-7, 0.0, 4.444858E-12, 0.0, -0.4, -0.15, 1.19336161E10, Infinity, 0.0, 0.0, 0.0, 1.0, 1.0, 3.200298E-17, 0.0, 4.444858E-12, 1.0, 0.0
36.0, 12.0, maize.SegLeaf@69d0a921, maize.SegLeaf@506c589e, 1, 41, 1, 23.0, 0.6, 0.0, -0.4000999769009649, 0.6, 0.0, -0.9450999850220978, 0.5575, 6.062406E-8, 6.062406E-10, 1.0874271E-7, 0.0, 4.5468048E-12, 0.0, -0.4, -0.15, 1.19336161E10, Infinity, 0.0, 0.0, 0.0, 1.0, 1.0, 3.2736993E-17, 0.0, 4.5468048E-12, 1.0, 0.0
36.0, 12.0, maize.SegLeaf@446cdf90, maize.SegLeaf@69d0a921, 1, 41, 1, 22.0, 0.6, 0.0, 0.15740003140643255, 0.6, 0.0, -0.4000999769009649, 0.555, 6.035221E-8, 6.0352207E-10, 1.0874271E-7, 0.0, 4.5264153E-12, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 3.2590188E-17, 0.0, 4.5264153E-12, 1.0, 1.0882139E-10
36.0, 12.0, maize.SegLeaf@799f7e29, maize.SegLeaf@446cdf90, 1, 41, 1, 21.0, 0.6, 0.0, 0.712400039676577, 0.6, 0.0, 0.15740003140643255, 0.5, 5.4371355E-8, 5.437136E-10, 1.0874271E-7, 0.0, 4.0778518E-12, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 2.936053E-17, 0.0, 4.0778518E-12, 1.0, 9.803729E-11
36.0, 12.0, maize.SegLeaf@4b85612c, maize.SegLeaf@799f7e29, 1, 41, 1, 20.0, 0.6, 0.0, 1.2124000471271574, 0.6, 0.0, 0.712400039676577, 0.5, 5.437136E-8, 5.437136E-10, 1.0874271E-7, 0.0, 4.0778518E-12, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 2.936053E-17, 0.0, 4.0778518E-12, 1.0, 9.803729E-11
36.0, 12.0, maize.SegLeaf@277050dc, maize.SegLeaf@4b85612c, 1, 41, 1, 18.0, 0.6083329477845523, 0.0, 1.7123306117376846, 0.6, 0.0, 1.2124000471271574, 0.5, 0.13573608, 0.0013573607, 0.27147216, 0.0, 1.0180205E-5, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 7.329748E-11, 0.0, 1.0180205E-5, 1.0, 2.4474642E-4
